0.00 0.00 v p34320 (in)
21.43 21.43 ^ o1125951/o (INV_Y2)
25.03 46.46 v FE_OFC650974_n1146442/o (INV_Z6)
29.90 76.36 ^ FE_OFC650975_n1146442/o (INV_Z10)
22.70 99.06 v o957924/o (INV_Z40)
12.11 111.17 ^ o957925/o (INV_Z40)
12.25 123.43 v FE_OFC651037_n951953/o (INV_Z20)
18.76 142.19 ^ FE_OFC651038_n951953/o (INV_Z20)
12.34 154.53 v o957926/o (INV_Z20)
8.62 163.15 ^ o966002/o (INV_Z10)
44.47 207.62 v o966003/o (INV_Z4)
21.68 229.30 ^ o957927/o (INV_Z20)
13.65 242.94 v FE_OFC689885_n948399/o (INV_Z10)
12.95 255.90 ^ FE_OFC689886_n948399/o (INV_Z10)
22.32 278.22 v FE_OFC650985_n948399/o (INV_Z10)
33.29 311.51 ^ FE_OFC650988_n948399/o (INV_Z20)
13.77 325.29 v o957928/o (INV_Z80)
16.81 342.09 ^ o966001/o (INV_Z10)
14.51 356.60 v FE_OFC651264_n1037155/o (INV_Z20)
9.90 366.51 ^ FE_OFC651265_n1037155/o (INV_Z20)
29.12 395.63 v o957929/o (INV_Z6)
18.87 414.50 ^ o957930/o (INV_Z10)
46.17 460.67 v o957931/o (INV_Z4)
23.40 484.07 ^ o965973/o (INV_Z20)
14.02 498.08 v FE_OFC712052_n1150752/o (INV_Z20)
27.08 525.16 ^ FE_OFC712053_n1150752/o (INV_Z20)
14.62 539.78 v o957932/o (INV_Z80)
45.24 585.02 ^ A14_B2_C3_D1_E1_F1_G1_o935313/o (INV_Z2)
73.07 658.09 v A40_B2_C3_D1_E1_F1_G1_o956751/o (INV_Z10)
34.56 692.65 ^ A14_B2_C3_D1_E1_F1_G1_o934270/o (NAND2_Z01)
47.98 740.64 v A14_B2_C3_D1_E1_F1_G1_o934284/o (NAND2_Z01)
51.27 791.91 ^ FE_OFC104904_n1096415/o (INV_Z1)
44.34 836.24 v FE_OFC104905_n1096415/o (INV_Y6)
39.07 875.31 ^ A14_B2_C3_D1_E1_F1_G1_o934269/o (NOR2_Y3)
60.65 935.96 v A14_B2_C3_D1_E1_F1_G1_o934268/o (NAND2_X1)
149.43 1085.39 ^ A14_B2_C3_D1_E1_F1_G1_o934277/o (NOR4_Y1)
52.86 1138.25 v A14_B2_C3_D1_E1_F1_G1_o934404/o (NOR3_Z1)
40.09 1178.34 ^ FE_OFC684661_n1098778/o (INV_Z2)
15.57 1193.91 v FE_OFC684662_n1098778/o (INV_Z8)
11.03 1204.95 ^ FE_OFC278761_n1098778/o (INV_Y4)
45.29 1250.23 v FE_OFC278762_n1098778/o (INV_Z2)
30.90 1281.14 ^ A14_B2_C3_D1_E1_F1_G1_o935396/o (INV_X10)
20.56 1301.69 ^ A14_B2_C7_D1_E1_F1_o1045951/o65 (block_644x666_97)
69.75 1371.44 v A14_B2_C7_D1_E1_F1_G1_o931930/o (INV_Z6)
37.06 1408.50 ^ A14_B2_C7_D1_E1_F1_G1_o930868/o (NAND2_Z20)
68.54 1477.04 v A14_B2_C7_D1_E1_F1_G1_o928596/o (NAND2_Z02)
78.63 1555.67 ^ o1039441/o (INV_Z1)
58.39 1614.06 v A14_B2_C7_D1_E1_F1_G1_o928607/o (NAND4_Z10)
28.03 1642.09 ^ FE_OFC651252_n1085546/o (INV_Z10)
12.62 1654.70 v FE_OFC651253_n1085546/o (INV_Z20)
14.65 1669.36 ^ o1039447/o (INV_Z10)
24.52 1693.87 v A14_B2_C7_D1_E1_F1_G1_o1090631/o (NOR2_Y20)
25.43 1719.30 ^ A14_B2_C7_D1_E1_F1_G1_o1090632/o (NOR2_Z20)
25.91 1745.21 v A14_B2_C7_D1_E1_F1_G1_o1090633/o (NOR2_Z20)
31.12 1776.33 ^ A14_B2_C7_D1_E1_F1_G1_o1090634/o (NAND2_X20)
29.86 1806.19 v A14_B2_C7_D1_E1_F1_G1_o1090635/o (NAND2_Y20)
28.00 1834.19 ^ A14_B2_C7_D1_E1_F1_G1_o1090636/o (NAND2_Y20)
26.25 1860.44 v A14_B2_C7_D1_E1_F1_G1_o1090637/o (NAND2_Z20)
28.15 1888.59 ^ A14_B2_C7_D1_E1_F1_G1_o1090638/o (NAND2_Y20)
31.78 1920.36 v A14_B2_C7_D1_E1_F1_G1_o1090639/o (NAND2_X20)
33.26 1953.62 ^ A14_B2_C7_D1_E1_F1_G1_o1090640/o (NAND2_X20)
26.70 1980.32 v A14_B2_C7_D1_E1_F1_G1_o1090641/o (NOR2_Z20)
31.37 2011.69 ^ A14_B2_C7_D1_E1_F1_G1_o1090642/o (NOR2_X20)
29.85 2041.54 v A14_B2_C7_D1_E1_F1_G1_o1090643/o (NAND2_Y20)
